Jurisdicción;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
C.A.B.A.;91.6;71.3;65.9;61.3;59.7;54.4;52.3;50.3;49.3;42.8;37.7;34.7;32.5;19;28.1;32.4
Buenos Aires;87.4;91.5;79.8;80.4;85.7;81.9;85.6;83.1;81.3;75.5;72.6;65.8;69.7;46.8;61.5;69.7
Catamarca;45.1;49.9;42;46.2;48.1;48.3;47.1;43;45.8;40.6;37.6;35.9;38;31.5;38.4;44.4
Chaco;74.2;85.9;79.9;70.6;75;68.1;62.5;60.8;59.1;55.1;55.5;54.6;51.4;35.6;45.7;50.3
Chubut;61.9;64.8;61.2;59.7;60.6;61.8;62.7;58;58;54.2;52.2;51.3;50.5;35.3;50.2;53.6
Córdoba;77.6;83.2;78;84.5;87.7;84.2;85.6;80.2;77.4;73.9;72.6;70.9;70.1;50.3;64.2;69.7
Corrientes;46.3;53.1;52.4;48.3;52.1;41.4;40.6;38;36.2;41.6;39.8;39.4;41.4;33.2;39.2;41.6
Entre Ríos;62;60.5;55.3;56.4;63.6;52.6;51.1;46.3;44.9;49.9;49.7;48.3;49.2;35.7;44.7;49.2
Formosa;63.8;60.7;56.7;61;62.8;59.8;58.6;50.5;55.2;57.2;57.6;56.2;58.8;47.8;58.3;60.1
Jujuy;52.8;55.2;53.4;47.3;61.5;59.8;54.4;58.5;54.6;55.3;57.9;54;53.4;42.7;53.4;50
La Pampa;47.2;51.7;50.3;45;50.6;43.4;46.4;45.9;45.7;46;47.9;48.2;45.3;33.7;37.5;45.7
La Rioja;68.1;68;52.9;68.2;66.4;65.1;74.3;75.3;74;62.2;56.5;53.9;58.6;40;56.5;63.8
Mendoza;93.4;102.2;92.5;90;97.5;87.5;84.1;80.2;78.2;69.7;66.6;62.7;65.7;44.5;61.1;69.2
Misiones;96.6;86.7;79.9;69.7;68;67.5;68;63.5;63.2;56.2;55.5;55.2;59.5;46.2;53.7;53.1
Neuquén;69.6;78.8;64.8;64.2;64.6;53.9;52.1;51.2;47.2;47.1;47.2;44.7;46.2;26.9;49.7;53
Río Negro;84.3;88.9;81.6;77.6;78;73.7;75.1;68.9;64.4;60;55.8;52.6;57.2;39.6;51.5;56.6
Salta;51.2;56.6;54.6;55.6;64.5;61.4;62.6;59.5;57.3;54.8;55.4;52.3;53.9;36.5;46.8;55
San Juan;50.5;55.3;53.1;55.5;59;59.6;60.4;64.3;63.7;58.5;54.7;55.3;52.9;36.7;47.8;51.7
San Luis;73.7;70.6;72;67.6;67.9;73.1;78;74;70.1;54.1;49.7;51.7;61.2;38.5;49.4;54
Santa Cruz;51.1;59.7;46.7;44.4;43;44.2;43.6;45.1;44.4;37.5;36.9;33.8;38.9;25.2;37;43.2
Santa Fe;101;99.7;90.7;88.8;91.6;89.1;88.7;80.9;77.3;72.5;69.2;66.9;67.2;51.1;63.9;68.4
Santiago del Estero;21.5;24.7;26.7;24.8;26.8;27;29.2;25;26.1;25.2;27;27.2;28.9;17.7;22.9;26.4
Tierra del Fuego;48.8;44.4;38.1;35.3;38.7;38.3;37;38.2;40;36.8;35;34.4;37.3;23.4;32.7;36.3
Tucumán;51.7;66.4;67;62.1;68;63.6;62;56.6;53.1;48.5;46;42.7;42.5;27.4;35.1;39.8
Total unidades productivas;82.5;80.6;72.9;71.3;73.3;69.4;69.9;66.8;65.1;60.3;57.4;53.6;54.8;37.1;49.4;55.2
